-,1980s,1990s,2.5d,_two_d,2d_fighter,360_video,_three_d,3d_platformer,3d_vision,4_player_local,4x,6dof,atv,abstract,action,action_rpg,action_adventure,addictive,adventure,agriculture,aliens,alternate_history,america,animation_&_modeling,anime,assassin,asynchronous_multiplayer,atmospheric,audio_production,bmx,base_building,baseball,based_on_a_novel,basketball,batman,battle_royale,beat_em_up,beautiful,benchmark,bikes,blood,board_game,bowling,building,bullet_hell,bullet_time,crpg,capitalism,card_game,cartoon,cartoony,casual,cats,character_action_game,character_customization,chess,choices_matter,choose_your_own_adventure,cinematic,city_builder,class_based,classic,clicker,co_op,co_op_campaign,cold_war,colorful,comedy,comic_book,competitive,conspiracy,controller,conversation,crafting,crime,crowdfunded,cult_classic,cute,cyberpunk,cycling,dark,dark_comedy,dark_humor,dating_sim,demons,design_&_illustration,destruction,detective,difficult,dinosaurs,diplomacy,documentary,dog,dragons,drama,driving,dungeon_crawler,dungeons_&_dragons,dynamic_narration,dystopian_,early_access,economy,education,emotional,epic,episodic,experience,experimental,exploration,fmv,fps,faith,family_friendly,fantasy,fast_paced,feature_film,female_protagonist,fighting,first_person,fishing,flight,football,foreign,free_to_play,funny,futuristic,gambling,game_development,gamemaker,games_workshop,gaming,god_game,golf,gore,gothic,grand_strategy,great_soundtrack,grid_based_movement,gun_customization,hack_and_slash,hacking,hand_drawn,hardware,heist,hex_grid,hidden_object,historical,hockey,horror,horses,hunting,illuminati,indie,intentionally_awkward_controls,interactive_fiction,inventory_management,investigation,isometric,jrpg,jet,kickstarter,lego,lara_croft,lemmings,level_editor,linear,local_co_op,local_multiplayer,logic,loot,lore_rich,lovecraftian,mmorpg,moba,magic,management,mars,martial_arts,massively_multiplayer,masterpiece,match_3,mature,mechs,medieval,memes,metroidvania,military,mini_golf,minigames,minimalist,mining,mod,moddable,modern,motocross,motorbike,mouse_only,movie,multiplayer,multiple_endings,music,music_based_procedural_generation,mystery,mystery_dungeon,mythology,nsfw,narration,naval,ninja,noir,nonlinear,nudity,offroad,old_school,on_rails_shooter,online_co_op,open_world,otome,parkour,parody_,party_based_rpg,perma_death,philisophical,photo_editing,physics,pinball,pirates,pixel_graphics,platformer,point_&_click,political,politics,pool,post_apocalyptic,procedural_generation,programming,psychedelic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,quick_time_events,rpg,rpgmaker,rts,racing,real_time_tactics,real_time,real_time_with_pause,realistic,relaxing,remake,replay_value,resource_management,retro,rhythm,robots,rogue_like,rogue_lite,romance,rome,runner,sailing,sandbox,satire,sci_fi,science,score_attack,sequel,sexual_content,shoot_em_up,shooter,short,side_scroller,silent_protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,soccer,software,software_training,sokoban,souls_like,soundtrack,space,space_sim,spectacle_fighter,spelling,split_screen,sports,star_wars,stealth,steam_machine,steampunk,story_rich,strategy,strategy_rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival_horror,swordplay,tactical,tactical_rpg,tanks,team_based,tennis,text_based,third_person,third_person_shooter,thriller,time_attack,time_management,time_manipulation,time_travel,top_down,top_down_shooter,touch_friendly,tower_defense,trackir,trading,trading_card_game,trains,transhumanism,turn_based,turn_based_combat,turn_based_strategy,turn_based_tactics,tutorial,twin_stick_shooter,typing,underground,underwater,unforgiving,utilities,vr,vr_only,vampire,video_production,villain_protagonist,violent,visual_novel,voice_control,voxel,walking_simulator,war,wargame,warhammer_40k,web_publishing,werewolves,western,word_game,world_war_i,world_war_ii,wrestling,zombies
1980s,22,176,5,41,0,0,1,8,0,1,1,3,0,0,105,1,3,1,117,0,10,1,0,0,9,1,0,52,0,0,1,0,1,0,0,0,2,1,0,0,4,1,0,0,2,0,1,0,1,0,6,14,0,1,1,0,3,1,4,0,3,135,0,11,0,0,6,22,1,6,2,10,0,0,2,0,17,4,8,0,11,0,7,0,6,0,2,7,32,3,0,0,0,0,1,2,3,0,1,4,5,0,2,4,1,0,0,0,13,18,47,0,9,16,12,0,19,3,46,0,1,0,0,3,21,0,0,0,0,0,0,0,0,31,2,1,57,0,0,0,0,3,0,0,0,2,3,0,30,0,0,0,41,0,3,1,0,6,4,0,0,0,2,0,1,1,3,4,0,0,2,4,0,0,1,0,0,2,0,26,1,3,1,3,4,2,4,0,0,1,0,1,14,0,0,0,1,0,29,4,2,0,17,0,1,0,1,0,2,6,0,5,0,25,1,5,9,0,0,0,0,1,0,0,3,0,4,39,34,51,1,1,0,6,1,0,0,3,5,33,5,0,2,0,26,0,4,7,1,1,0,1,2,20,4,0,94,0,4,2,2,2,0,0,0,1,1,44,0,1,0,0,6,48,4,5,4,5,103,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,2,1,3,5,0,4,40,11,0,1,0,0,1,5,3,2,1,5,0,1,3,0,0,20,3,2,1,0,1,4,2,3,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,19,1,0,1,4,1,0,0,0,1,0,0,1,4,0,6
1990s,1,5,141,68,18,0,3,6,4,9,0,0,0,1,109,1,8,2,81,0,2,3,0,0,22,3,0,44,0,0,1,0,0,0,2,0,14,1,0,0,5,0,0,0,5,0,0,1,1,4,10,40,0,1,5,0,2,0,2,0,0,24,0,15,1,0,17,14,4,17,0,35,0,2,0,3,1,19,2,0,12,0,6,0,2,1,3,1,46,0,0,0,0,0,1,1,0,0,0,10,8,0,2,1,1,1,1,1,14,0,5,0,26,18,11,0,24,21,5,0,2,0,0,3,22,4,0,0,0,0,0,1,0,11,2,0,74,1,0,4,0,6,0,0,0,0,5,0,17,0,1,0,98,1,0,0,0,5,0,0,7,0,0,0,3,2,16,28,0,2,1,1,1,0,0,0,1,1,1,3,0,4,4,0,4,13,0,0,0,2,1,0,3,0,1,1,2,0,25,1,5,0,10,0,0,0,0,0,2,3,0,4,1,6,0,5,5,0,6,0,0,1,0,0,14,1,0,14,71,10,1,0,0,7,1,0,0,0,10,34,27,0,0,1,10,0,1,6,0,2,1,0,6,8,4,1,31,3,8,2,2,0,0,3,0,1,0,21,2,7,0,2,5,16,15,44,1,4,101,1,0,0,0,0,0,0,0,0,0,2,4,7,1,1,0,4,6,0,12,0,6,35,10,0,1,0,4,1,3,8,4,1,1,1,0,1,0,0,5,0,1,2,0,0,0,2,3,0,1,0,0,1,0,0,2,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,8,2,0,1,3,3,0,0,0,1,1,0,0,1,0,6
2.5d,53,41,68,3276,72,0,6,8,6,141,10,0,0,100,1869,84,99,85,1622,15,41,18,6,6,361,8,1,812,7,0,56,2,0,1,2,3,105,43,0,1,39,21,1,116,198,8,13,15,39,70,115,1475,22,12,51,2,87,30,9,32,10,269,55,295,10,6,318,357,10,90,11,329,5,95,25,19,32,442,48,0,184,21,77,51,29,21,24,41,952,11,7,2,9,10,35,7,108,3,6,24,304,50,49,21,16,25,6,66,233,1,10,5,468,462,274,0,432,95,13,7,16,1,0,198,553,38,1,12,86,0,7,15,1,186,18,15,1192,12,7,74,16,162,0,4,18,100,48,1,262,3,2,34,3043,3,37,8,8,72,88,0,47,0,0,6,74,33,267,245,39,53,17,27,18,5,43,102,5,4,67,62,42,83,23,48,112,188,16,1,11,223,9,2,42,11,0,0,95,2,404,79,85,7,174,12,16,14,24,5,39,26,14,147,1,89,3,85,157,2,22,29,19,95,6,1,194,5,25,1112,995,304,27,21,0,58,133,18,22,35,116,892,243,11,31,4,669,131,57,50,17,34,29,24,338,42,346,72,778,34,62,249,196,51,2,41,3,181,14,354,20,54,6,134,289,332,275,490,17,430,2119,3,2,2,0,1,1,1,5,2,10,20,48,231,27,6,3,17,61,2,44,3,53,580,690,21,139,0,13,17,101,219,46,13,93,16,6,14,2,42,38,3,12,25,5,17,22,190,100,78,81,0,7,7,6,2,197,76,70,40,8,81,12,5,18,8,6,2,0,11,3,19,167,112,1,7,31,43,9,0,6,3,14,11,6,12,3,108
_two_d,0,0,18,72,163,0,0,0,4,31,0,0,0,1,158,2,2,1,16,1,1,1,0,1,53,2,0,9,0,0,0,0,0,0,2,0,34,0,0,0,9,0,0,0,5,0,0,0,0,8,4,42,0,1,2,0,2,0,0,0,1,12,0,14,3,0,5,14,7,40,0,39,0,1,0,2,0,24,1,0,1,0,2,1,0,1,0,0,26,0,0,0,0,0,1,0,1,0,0,0,25,0,1,0,0,0,0,2,1,0,1,1,3,15,16,0,18,136,0,0,0,0,0,10,32,0,0,1,2,0,0,3,0,19,0,0,61,0,0,4,0,2,0,1,0,0,3,0,7,0,0,1,106,0,0,0,0,0,0,0,1,0,0,0,1,0,25,77,0,0,2,0,1,1,2,3,0,2,5,1,0,6,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,70,2,1,0,0,0,1,0,0,0,2,0,0,16,0,0,0,8,2,0,1,1,0,0,0,0,6,0,0,35,21,0,0,0,0,2,0,0,1,0,5,0,1,1,8,0,8,1,0,2,0,1,0,1,0,3,4,0,20,2,2,2,0,0,0,0,0,1,0,3,0,1,0,10,5,9,1,10,0,7,59,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,10,0,0,0,1,22,7,2,2,0,5,0,0,5,1,8,1,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,3,0,0,4,2,1,0,0,0,1,1,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2d_fighter,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360_video,0,1,3,6,0,0,116,14,3,4,1,1,0,4,61,7,7,3,41,0,3,0,2,6,8,0,0,27,2,0,3,0,0,0,0,0,3,6,0,0,1,1,1,8,2,0,0,2,3,3,6,44,1,0,4,1,1,0,0,2,0,9,0,3,0,1,15,12,0,8,2,13,0,3,0,1,1,10,2,0,5,0,2,0,0,6,7,0,28,0,1,1,0,1,0,2,2,1,0,1,30,2,5,1,5,0,2,2,14,0,9,0,19,14,12,0,12,7,17,0,3,1,1,7,20,1,0,5,3,0,1,0,0,5,1,0,30,4,1,0,0,0,1,0,0,5,2,0,6,0,2,1,100,0,0,2,1,5,2,0,0,0,0,0,3,1,4,9,2,3,0,2,0,0,4,7,0,1,1,3,0,3,1,2,6,1,1,0,0,9,2,0,3,2,0,0,3,1,15,1,1,0,3,0,0,0,2,1,1,0,0,3,2,5,0,3,8,0,1,1,0,3,2,0,10,0,1,4,15,3,2,0,0,0,5,2,0,3,7,31,4,1,1,0,17,0,2,11,1,3,1,4,10,1,9,6,14,0,5,7,6,0,0,2,1,10,0,19,1,4,0,2,1,11,5,3,0,31,76,1,0,0,0,0,0,0,5,2,1,0,3,11,3,0,0,3,9,0,2,0,3,12,27,1,8,0,0,0,4,9,2,1,4,0,1,1,0,0,20,2,2,2,0,0,1,4,2,1,4,0,1,0,1,0,6,1,4,1,2,0,0,2,0,1,6,10,0,0,5,0,7,0,0,5,3,3,2,0,1,0,0,0,0,1,1,1
_three_d,0,8,6,8,0,0,14,273,10,4,0,0,0,7,204,6,22,2,185,0,1,1,0,1,15,1,0,57,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,1,1,0,0,0,0,5,16,111,3,2,4,0,1,1,1,0,0,25,0,14,2,0,49,24,0,5,0,35,0,2,1,1,6,39,5,0,7,2,1,0,3,0,2,3,48,3,0,0,0,3,2,0,1,1,1,1,39,0,0,1,2,1,1,5,36,0,18,0,54,23,26,0,42,0,40,0,1,0,0,12,47,7,0,0,0,1,0,0,0,9,1,0,82,0,0,5,1,1,0,0,0,2,2,0,16,0,0,3,233,1,0,3,0,1,1,0,3,0,4,0,11,7,8,4,1,1,3,3,1,0,3,0,0,1,3,3,0,2,3,1,5,5,0,0,0,8,0,0,6,0,0,0,0,0,30,1,5,1,8,0,2,0,4,0,2,3,0,2,0,5,0,3,31,0,41,0,0,0,0,0,29,0,1,8,156,0,0,0,0,5,5,0,1,5,12,75,74,1,1,0,19,0,0,25,0,0,0,1,16,6,12,0,32,2,12,2,3,0,0,8,0,4,0,32,2,0,0,1,3,19,19,12,1,16,156,1,0,0,0,0,0,0,0,0,0,1,4,6,0,1,0,2,7,1,6,1,3,24,17,0,10,0,0,1,10,11,8,2,0,0,0,1,0,0,52,8,1,6,0,1,1,2,3,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,1,1,0,15,3,0,0,1,9,1,0,6,7,2,0,0,0,0,0,0,0,0,0,3
3d_platformer,0,0,4,6,4,0,3,10,71,1,0,0,0,0,61,6,9,0,44,1,5,0,1,3,6,1,0,33,0,0,0,0,0,0,5,1,9,2,1,0,1,0,0,5,0,1,0,0,0,0,1,17,0,0,1,0,1,1,4,0,0,7,1,18,1,0,5,12,4,3,0,18,0,2,3,0,0,4,2,0,10,0,2,0,4,1,3,5,13,1,0,0,0,0,0,6,1,0,1,1,12,0,1,1,1,0,0,1,8,0,13,0,6,12,3,0,7,7,22,0,1,0,0,9,16,2,0,0,0,0,1,0,0,16,0,0,19,0,0,5,2,0,0,1,0,0,1,0,15,0,1,1,28,0,0,0,1,0,1,0,0,2,3,0,1,4,11,10,0,0,0,2,1,0,1,0,1,0,4,4,0,5,0,3,3,2,1,0,0,0,1,0,3,0,0,0,0,0,35,2,1,0,4,0,0,0,0,0,2,2,0,7,2,2,0,9,27,0,6,0,0,0,0,0,6,0,0,3,12,3,1,0,0,1,0,0,1,1,8,10,2,0,2,2,12,0,2,8,0,0,0,7,1,4,5,1,3,0,3,0,0,0,0,1,0,10,0,15,1,0,0,1,1,20,3,2,0,13,56,0,0,0,0,0,0,0,2,0,0,0,1,4,0,1,0,5,6,0,8,1,1,17,12,0,0,0,5,0,1,11,11,1,3,0,0,0,0,0,29,13,0,1,0,0,1,0,0,0,2,3,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,8,0,0,1,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,6
3d_vision,5,1,9,141,31,0,4,4,1,403,0,0,0,1,361,12,5,3,79,0,9,1,0,1,16,0,1,17,0,0,1,0,0,0,0,0,39,2,0,0,5,8,0,5,19,1,1,1,2,9,22,164,1,2,5,0,2,0,0,0,2,18,0,142,12,0,51,40,1,69,0,86,0,1,0,4,2,41,2,0,3,1,6,0,1,2,6,0,61,4,0,0,1,0,0,8,11,1,1,0,80,0,0,0,1,1,1,4,3,0,2,0,61,25,72,0,14,59,3,0,2,5,0,10,111,13,0,0,4,0,2,0,0,30,0,0,115,1,0,15,0,4,0,0,1,0,1,1,10,0,0,0,374,2,0,1,0,9,0,0,8,0,1,0,13,0,225,319,0,8,1,1,0,0,8,1,2,1,4,2,1,3,6,2,13,4,0,0,2,8,1,0,3,0,0,0,3,1,187,1,5,0,0,0,2,0,0,1,3,0,0,3,0,1,1,51,6,0,7,1,1,11,0,0,36,2,3,83,74,0,0,1,0,3,16,0,2,0,4,20,4,2,16,0,33,1,4,47,0,2,2,0,5,4,20,1,68,0,11,22,17,0,0,0,0,6,2,36,1,4,0,3,36,46,7,31,0,24,118,1,1,0,0,0,0,6,0,0,0,0,5,30,1,2,0,50,64,0,7,3,2,8,38,1,9,0,1,0,1,15,0,6,3,0,2,14,0,0,11,3,0,8,1,0,0,30,24,3,7,0,0,0,0,0,7,1,4,0,0,39,0,1,0,0,0,11,0,1,0,0,19,0,0,1,0,2,0,0,0,1,4,0,0,1,2,14
4_player_local,0,1,0,10,0,0,1,0,0,0,141,2,0,0,30,1,0,6,31,0,6,2,0,0,0,0,2,23,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,11,1,0,0,2,3,0,0,4,0,0,0,0,1,0,0,10,0,22,0,20,0,0,1,0,0,1,0,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,0,5,0,0,2,0,0,2,0,0,0,28,13,3,0,3,0,0,0,17,0,0,0,1,25,3,0,2,0,0,0,2,0,0,4,2,7,0,0,0,1,0,4,0,1,0,47,33,2,0,0,0,0,0,0,18,0,17,0,0,0,0,1,85,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,2,0,1,0,8,12,0,0,5,8,0,0,1,8,0,0,7,0,0,1,1,1,30,0,0,0,1,0,62,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,17,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,2,6,0,0,0,0,1,0,1,4,0,33,0,35,0,4,10,10,1,2,2,25,13,2,0,0,5,2,0,2,0,0,24,1,67,0,0,0,1,0,1,0,0,0,55,83,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,2,1,0,0,8,137,3,0,0,0,0,0,10,0,0,35,3,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,1,6,0,0,0,70,7,72,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,18,6,1,0,0,0,0,0,0,0,1
